Date,Temp,EC,Turbidity
2055-02-20 00:17,14.88,0.00,2262.00
2055-02-20 00:38,2143.12,0.00,2361.00
2055-02-20 00:58,15.00,0.00,2135.75
2055-02-20 01:19,15.19,0.00,2069.50
2055-02-20 01:39,15.25,0.00,2241.25
2055-02-20 02:00,95.12,0.00,2409.00
2055-02-20 02:20,15.69,0.00,1879.50
2055-02-20 02:41,15.75,0.00,2420.75
2055-02-20 03:01,15.69,0.00,2299.25
2055-02-20 03:22,15.81,0.00,1962.25
2055-02-20 03:42,15.88,0.00,1880.00
2055-02-20 04:03,15.88,0.00,1880.75
2055-02-20 04:23,16.00,0.00,1881.75
2055-02-20 04:44,16.06,0.00,2056.50
2055-02-20 05:04,16.12,0.00,1884.25
2055-02-20 05:25,16.06,0.00,1895.00
2055-02-20 05:45,16.12,0.00,1510.50
2055-02-20 06:06,16.06,0.00,2249.75
2055-02-20 06:26,16.19,0.00,1523.75
2055-02-20 06:47,16.12,0.00,2294.50
2055-02-20 07:07,16.06,0.00,2435.50
2055-02-20 07:28,16.00,0.00,2437.25
2055-02-20 07:48,15.75,0.00,2473.25
2055-02-20 08:09,15.94,0.00,2419.75
2055-02-20 08:29,15.81,0.00,2503.25
2055-02-20 08:50,15.81,0.00,2351.50
2055-02-20 09:10,15.69,0.00,2393.50
2055-02-20 09:31,15.62,0.00,2283.75
2055-02-20 09:51,15.56,0.00,2276.50
2055-02-20 10:12,15.44,0.00,1966.25
2055-02-20 10:32,15.44,0.00,2339.25
2055-02-20 10:53,15.38,0.00,2267.50
2055-02-20 11:13,15.38,0.00,2235.75
2055-02-20 11:33,2127.12,0.00,2014.00
2055-02-20 11:54,15.25,0.00,2323.50
2055-02-20 12:14,15.06,0.00,1888.75
2055-02-20 12:35,15.12,0.00,1694.75
2055-02-20 12:55,15.12,0.00,1887.00
2055-02-20 13:16,15.06,0.00,2110.25
2055-02-20 13:36,15.00,0.00,2276.25
2055-02-20 13:57,14.88,0.00,2287.00
2055-02-20 14:17,15.06,0.00,1889.00
2055-02-20 14:38,79.12,0.00,1887.75
2055-02-20 14:58,2143.12,0.00,1878.50
2055-02-20 15:19,15.00,0.00,1613.25
2055-02-20 15:39,15.06,0.00,1889.25
2055-02-20 16:00,14.94,0.00,1981.75
2055-02-20 16:20,15.06,0.00,1960.00
2055-02-20 16:40,15.06,0.00,2208.50
2055-02-20 17:01,14.88,0.00,2201.25
2055-02-20 17:21,15.06,0.00,2040.00
2055-02-20 17:42,15.06,0.00,2141.50
2055-02-20 18:02,15.00,0.00,1945.25
2055-02-20 18:23,77.12,0.00,1985.00
2055-02-20 18:43,79.12,0.00,2102.25
2055-02-20 19:04,15.06,0.00,1512.00
2055-02-20 19:24,-1000.00,0.00,2238.25
2055-02-20 19:45,15.00,0.00,1786.00
2055-02-20 20:05,15.12,0.00,2265.75
2055-02-20 20:26,15.12,0.00,1899.00
2055-02-20 20:46,2127.12,0.00,1554.00
2055-02-20 21:07,15.06,0.00,2235.25
2055-02-20 21:27,15.06,0.00,2264.50
2055-02-20 21:48,95.12,0.00,1893.75
2055-02-20 22:08,15.12,0.00,1892.50
2055-02-20 22:29,15.12,0.00,1898.00
2055-02-20 22:49,15.12,0.00,1924.75
2055-02-20 23:09,15.38,0.00,1940.50
2055-02-20 23:30,15.38,0.00,2020.00
2055-02-20 23:51,15.50,0.00,1957.00
