Date,Temp,EC,Turbidity,AlignDate,AlignCheck
2055-02-16 01:03:00,25.0,0.0,2161.75,2023-02-13 11:42:00,
2055-02-16 01:04:00,18.5,0.0,2050.0,2023-02-13 11:43:00,True
2055-02-16 01:25:00,18.44,0.0,2120.0,2023-02-13 12:04:00,
2055-02-16 01:46:00,18.75,0.0,2147.25,2023-02-13 12:25:00,
2055-02-16 02:06:00,19.0,0.0,2097.75,2023-02-13 12:45:00,True
2055-02-16 02:27:00,19.25,0.0,2073.5,2023-02-13 13:06:00,True
2055-02-16 02:47:00,19.56,0.0,2062.5,2023-02-13 13:26:00,True
2055-02-16 03:08:00,19.94,0.0,2053.25,2023-02-13 13:47:00,
2055-02-16 03:29:00,19.94,0.0,2115.5,2023-02-13 14:08:00,
2055-02-16 03:49:00,20.0,0.0,2284.0,2023-02-13 14:28:00,True
2055-02-16 04:10:00,20.44,0.0,2279.25,2023-02-13 14:49:00,
2055-02-16 04:30:00,20.44,0.0,2229.25,2023-02-13 15:09:00,True
2055-02-16 04:51:00,20.56,0.0,2325.75,2023-02-13 15:30:00,
2055-02-16 05:12:00,20.38,0.0,2304.5,2023-02-13 15:51:00,
2055-02-16 05:32:00,20.25,0.0,2302.75,2023-02-13 16:11:00,
2055-02-16 05:53:00,28.38,0.0,2256.5,2023-02-13 16:32:00,
2055-02-16 06:13:00,20.31,0.0,2215.5,2023-02-13 16:52:00,True
2055-02-16 06:34:00,20.25,0.0,2269.0,2023-02-13 17:13:00,
2055-02-16 06:54:00,20.25,0.0,2250.0,2023-02-13 17:33:00,True
2055-02-16 07:15:00,20.12,0.0,2257.5,2023-02-13 17:54:00,
2055-02-16 07:35:00,79.12,0.0,2228.75,2023-02-13 18:14:00,True
2055-02-16 07:56:00,20.25,0.0,2287.75,2023-02-13 18:35:00,True
2055-02-16 08:16:00,20.12,0.0,2258.75,2023-02-13 18:55:00,
2055-02-16 08:37:00,20.12,0.0,2227.0,2023-02-13 19:16:00,True
2055-02-16 08:57:00,19.88,0.0,2222.75,2023-02-13 19:36:00,True
2055-02-16 09:18:00,19.88,0.0,2246.0,2023-02-13 19:57:00,
2055-02-16 09:38:00,19.81,0.0,2251.0,2023-02-13 20:17:00,True
2055-02-16 09:59:00,19.69,0.0,2278.0,2023-02-13 20:38:00,
2055-02-16 10:19:00,19.44,0.0,2277.75,2023-02-13 20:58:00,True
2055-02-16 10:40:00,95.12,0.0,2294.25,2023-02-13 21:19:00,True
2055-02-16 11:00:00,11.25,0.0,2346.5,2023-02-13 21:39:00,
2055-02-16 11:21:00,19.0,0.0,2342.0,2023-02-13 22:00:00,True
2055-02-16 11:41:00,19.0,0.0,2350.75,2023-02-13 22:20:00,
2055-02-16 12:02:00,18.94,0.0,2375.0,2023-02-13 22:41:00,True
2055-02-16 12:22:00,18.75,0.0,2359.5,2023-02-13 23:01:00,True
2055-02-16 12:43:00,18.69,0.0,2417.75,2023-02-13 23:22:00,
2055-02-16 13:03:00,18.62,0.0,2417.25,2023-02-13 23:42:00,
2055-02-16 13:24:00,18.44,0.0,2466.75,2023-02-14 00:03:00,True
2055-02-16 13:44:00,18.31,0.0,2505.5,2023-02-14 00:23:00,True
2055-02-16 14:05:00,18.38,0.0,2488.25,2023-02-14 00:44:00,
2055-02-16 14:25:00,18.19,0.0,2519.5,2023-02-14 01:04:00,True
2055-02-16 14:46:00,18.25,0.0,2510.25,2023-02-14 01:25:00,True
2055-02-16 15:06:00,17.94,0.0,2517.5,2023-02-14 01:45:00,True
2055-02-16 15:27:00,18.0,0.0,2533.0,2023-02-14 02:06:00,True
2055-02-16 15:47:00,18.12,0.0,2619.25,2023-02-14 02:26:00,True
2055-02-16 16:08:00,18.0,0.0,2614.0,2023-02-14 02:47:00,
2055-02-16 16:28:00,17.75,0.0,2580.0,2023-02-14 03:07:00,True
2055-02-16 16:49:00,17.94,0.0,2591.25,2023-02-14 03:28:00,
